date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:13:41	85810/85810	---M--	200	added ('OK')	text/javascript	etag:%221195%20/%20982%20of%201000%20/%20last-modified:%201650665358%22	https://www.googletagservices.com/tag/js/gpt.js	C:/Users/Lenovo/Downloads/wormax.io/www.googletagservices.com/tag/js/gpt.js	(from http://wormax.io/)
03:13:42	2664/2664	---MCZ	200	added ('OK')	text/css	etag:W/%225bb218a6-a68%22	http://cdn.wormax.io/css/popup.css?rev=5500	C:/Users/Lenovo/Downloads/wormax.io/cdn.wormax.io/css/popupe348.css	(from http://wormax.io/)
03:13:43	820/820	---MCZ	200	added ('OK')	text/css	etag:W/%225d949a12-334%22	http://cdn.wormax.io/css/main.css?rev=5500	C:/Users/Lenovo/Downloads/wormax.io/cdn.wormax.io/css/maine348.css	(from http://wormax.io/)
03:13:43	1336/1336	---MCZ	200	added ('OK')	text/css	etag:W/%225bb218a6-538%22	http://cdn.wormax.io/css/preload.css?rev=5500	C:/Users/Lenovo/Downloads/wormax.io/cdn.wormax.io/css/preloade348.css	(from http://wormax.io/)
03:13:44	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Apr%202022%2021:02:38%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Lenovo/Downloads/wormax.io/www.google-analytics.com/analytics.js	(from http://wormax.io/)
03:13:44	2715/2715	---M--	200	added ('OK')	image/png	etag:%225bb218a6-a9b%22	http://wormax.io/images/skip_ad_button.png	C:/Users/Lenovo/Downloads/wormax.io/wormax.io/images/skip_ad_button.png	(from http://wormax.io/)
03:13:46	7842/7842	---M--	200	added ('OK')	application/javascript	etag:%225bb218a6-1ea2%22	http://cdn.wormax.io/js/snakeads.js?rev=5500	C:/Users/Lenovo/Downloads/wormax.io/cdn.wormax.io/js/snakeadse348.js	(from http://wormax.io/)
03:13:46	43/43	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Oct%202018%2012:52:54%20GMT	http://wormax.io/onloadpixel?etag=1650762765146	C:/Users/Lenovo/Downloads/wormax.io/wormax.io/onloadpixel4613.png	(from http://wormax.io/)
03:13:49	284520/284520	---MCZ	200	added ('Ok')	text/javascript		http://an.yandex.ru/system/context.js	C:/Users/Lenovo/Downloads/wormax.io/an.yandex.ru/system/context.js	(from http://wormax.io/)
03:13:54	280566/280566	---M--	200	added ('OK')	image/png	etag:%225bb218a6-447f6%22	http://wormax.io/images/sharing_image.png	C:/Users/Lenovo/Downloads/wormax.io/wormax.io/images/sharing_image.png	(from http://wormax.io/)
03:13:54	43/43	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Oct%202018%2012:52:54%20GMT	http://wormax.io/onloadpixel?etag=1650762765874	C:/Users/Lenovo/Downloads/wormax.io/wormax.io/onloadpixela9ea.png	(from http://wormax.io/?lang=ru)
03:13:55	7804/7804	---M--	200	added ('OK')	application/javascript	etag:%22620b9154-1e7c%22	http://cdn.wormax.io/SnakeGame/SnakeGame.nocache.js?etag=1650762765874	C:/Users/Lenovo/Downloads/wormax.io/cdn.wormax.io/SnakeGame/SnakeGame.nocachea9ea.js	(from http://wormax.io/?lang=ru)
03:13:55	43/43	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Oct%202018%2012:52:54%20GMT	http://wormax.io/onloadpixel?etag=1650762765923	C:/Users/Lenovo/Downloads/wormax.io/wormax.io/onloadpixeld422.png	(from http://wormax.io/?lang=en)
03:13:56	7804/7804	---M--	200	added ('OK')	application/javascript	etag:%22620b9154-1e7c%22	http://cdn.wormax.io/SnakeGame/SnakeGame.nocache.js?etag=1650762765923	C:/Users/Lenovo/Downloads/wormax.io/cdn.wormax.io/SnakeGame/SnakeGame.nocached422.js	(from http://wormax.io/?lang=en)
03:13:56	96387/96387	---M--	200	added ('OK')	image/png	etag:%225bb218a6-17883%22	http://cdn.wormax.io/images/logo_halloween.png?rev=5500	C:/Users/Lenovo/Downloads/wormax.io/cdn.wormax.io/images/logo_halloweene348.png	(from http://wormax.io/)
03:13:56	43/43	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Oct%202018%2012:52:54%20GMT	http://wormax.io/onloadpixel?etag=1650762766810	C:/Users/Lenovo/Downloads/wormax.io/wormax.io/onloadpixelb4a2.png	(from http://wormax.io/?lang=de)
03:13:57	7804/7804	---M--	200	added ('OK')	application/javascript	etag:%22620b9154-1e7c%22	http://cdn.wormax.io/SnakeGame/SnakeGame.nocache.js?etag=1650762766810	C:/Users/Lenovo/Downloads/wormax.io/cdn.wormax.io/SnakeGame/SnakeGame.nocacheb4a2.js	(from http://wormax.io/?lang=de)
03:13:57	43/43	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Oct%202018%2012:52:54%20GMT	http://wormax.io/onloadpixel?etag=1650762767266	C:/Users/Lenovo/Downloads/wormax.io/wormax.io/onloadpixel8bcd.png	(from http://wormax.io/?lang=fr)
03:13:57	7804/7804	---M--	200	added ('OK')	application/javascript	etag:%22620b9154-1e7c%22	http://cdn.wormax.io/SnakeGame/SnakeGame.nocache.js?etag=1650762767266	C:/Users/Lenovo/Downloads/wormax.io/cdn.wormax.io/SnakeGame/SnakeGame.nocache8bcd.js	(from http://wormax.io/?lang=fr)
03:13:57	43/43	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Oct%202018%2012:52:54%20GMT	http://wormax.io/onloadpixel?etag=1650762767544	C:/Users/Lenovo/Downloads/wormax.io/wormax.io/onloadpixeld5a2.png	(from http://wormax.io/?lang=ua)
03:13:58	43/43	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Oct%202018%2012:52:54%20GMT	http://wormax.io/onloadpixel?etag=1650762767984	C:/Users/Lenovo/Downloads/wormax.io/wormax.io/onloadpixel995c.png	(from http://wormax.io/?lang=it)
03:13:58	7804/7804	---M--	200	added ('OK')	application/javascript	etag:%22620b9154-1e7c%22	http://cdn.wormax.io/SnakeGame/SnakeGame.nocache.js?etag=1650762767544	C:/Users/Lenovo/Downloads/wormax.io/cdn.wormax.io/SnakeGame/SnakeGame.nocached5a2.js	(from http://wormax.io/?lang=ua)
